Region,Track,Time,Latitude,Longitude
1.0,1.0,0.3182584817586559,0.004604844410959173,6.384883005942616e-68
1.0,2.0,1.0,1.2819487707920386e-18,9.903240381567293e-63
1.0,3.0,0.5239471766269066,3.377084131821608e-12,0.4162998473827162
1.0,4.0,8.147901007016414e-105,1.1282656157450673e-54,5.700483017060167e-72
1.0,5.0,6.949349307681514e-49,2.948573752322166e-144,2.1543866882577676e-105
1.0,6.0,1.0,2.5507489440762916e-71,2.8850651605265098e-70
1.0,7.0,5.653362366964343e-37,1.0145797028969285e-05,6.481579101561677e-10
1.0,8.0,1.0,3.7410273410143364e-05,0.0036737593858847035
1.0,9.0,1.0,2.071012655926543e-14,6.98596375841949e-22
1.0,10.0,1.0,5.7648820795284074e-15,0.0018501115455284666
1.0,11.0,1.0,0.00115564859959372,0.0011143085365516755
1.0,12.0,1.0,6.653188357623582e-05,0.0005423765007895027
2.0,2.0,1.0,0.002488266881013599,1.180456805159386e-30
2.0,5.0,5.632444357305093e-15,0.25674343673085714,0.6839260117742143
2.0,6.0,1.0,5.6181689303116375e-14,9.478643798360311e-14
2.0,8.0,1.0,0.00613756268748473,2.8344512542274923e-07
2.0,9.0,1.0,0.01625233875809981,0.002013737659571046
2.0,10.0,1.0,1.4769599591419158e-07,0.06642270014882404
2.0,11.0,1.0,0.00641977648746442,0.0022655080663732795
2.0,12.0,1.0,0.00010355360801346586,5.132531867084571e-06
3.0,2.0,1.0,2.389602541710049e-12,5.455643739728663e-21
3.0,3.0,0.0014501774730022964,2.9915974967589843e-105,1.9158280482104524e-09
3.0,6.0,1.0,2.0964602899656764e-05,7.302842774714645e-07
3.0,8.0,1.0,0.8916436824791472,3.3992631960429436e-07
3.0,9.0,1.0,0.035488652220779286,1.9401436260795347e-19
3.0,11.0,1.0,4.51345301423427e-12,2.4241763302203606e-15
3.0,12.0,1.0,1.3889766363615728e-12,6.070337375560336e-12
4.0,2.0,1.0,0.004585866834365543,0.09693159338482656
4.0,4.0,0.6125453356115906,2.7772522013862655e-06,1.3516890028702356e-07
4.0,5.0,0.16573244991419475,0.0028374672375401527,0.0015001418243248477
4.0,7.0,2.8481631941972662e-05,0.0028810206354923595,4.108003518087555e-06
5.0,4.0,0.0424111493444866,0.009287200353213999,0.08115750413328945
5.0,7.0,0.0020531404024088607,0.31112588652754697,0.10315807564044698
5.0,8.0,1.0,1.6642992053248092e-30,1.522828350885331e-70
5.0,9.0,1.0,0.00020954474897704863,3.575466997498029e-47
5.0,10.0,1.0,8.34765598827031e-25,0.0001011536181940432
5.0,11.0,1.0,0.10420966046810083,0.008186190066735622
6.0,8.0,1.0,0.6319691315286259,0.00020289874994904584
6.0,11.0,1.0,7.954797198114051e-104,1.8599179858939104e-115
7.0,7.0,2.036774583629753e-21,2.47022650970302e-05,0.0009920805253749772
7.0,8.0,1.0,5.777018219143841e-07,0.00019653628512828595
7.0,9.0,1.0,3.0274731654236085e-44,0.006005691580042379
7.0,10.0,1.0,0.01613595376881604,3.5528692528773684e-18
7.0,11.0,1.0,3.548863307058579e-08,0.3157215096892081
7.0,12.0,1.0,1.4996354803650446e-05,1.6587590238187054e-10
8.0,8.0,1.0,0.0021112789090716655,0.6445770687111425
8.0,9.0,1.0,0.9036645211198382,6.205995089206105e-06
8.0,10.0,1.0,9.01539076832999e-09,0.06591799244539723
8.0,12.0,1.0,0.00035681678794381434,3.64893053157329e-07
9.0,12.0,1.0,2.060323291031819e-46,2.3139173202062524e-47
